customer_id,recency,frequency,monetary_value,customer_tier
563,14606,1,289,56727.870670000004,Premium
736,15311,13,291,76540.7443,Premium
643,14911,11,276,51725.14647,Premium
1355,17841,18,263,49397.24444,Premium
850,15808,2,123,24017.1775,Premium
1218,17337,17,139,30141.513789999997,Premium
202,13089,21,176,26221.73484,Premium
667,15039,27,148,27540.07758,Premium
1267,17511,22,106,16563.93483,Premium
1411,18041,19,95,16308.27209,Premium
833,15719,14,95,15507.182200000001,Premium
234,13174,49,124,20447.96106,Premium
118,12748,108,328,78753.89421,Premium
482,14298,33,99,16363.78871,Premium
56,12539,54,100,18009.36328,Premium
806,15601,48,88,17398.62501,Premium
94,12681,29,88,15897.679610000001,Premium
226,13148,37,78,16676.05786,Premium
541,14527,33,84,16231.532760000002,Premium
572,14646,91,114,21208.308360000003,Premium
33,12471,16,70,13542.74803,Premium
703,15194,30,55,20698.58323,Premium
1295,17611,84,104,17067.184110000002,Premium
1433,18118,107,120,20484.43895,Premium
675,15061,66,80,16542.79056,Premium
200,13081,123,117,21420.16586,Premium
578,14667,111,71,27306.44745,Premium
1348,17811,21,76,11729.1839,Premium
62,12567,11,71,11225.26317,Premium
424,14085,14,73,11204.99752,Premium
95,12682,21,68,11971.42915,Premium
447,14180,16,41,21510.329279999998,Premium
1117,16923,40,59,14385.25912,Premium
618,14796,81,80,14384.86687,Premium
292,13488,12,76,10467.48775,Premium
205,13093,20,65,11283.08763,Premium
869,15867,59,78,11898.000750000001,Premium
1062,16725,6,67,10752.22587,Premium
949,16222,67,71,12129.93836,Premium
34,12472,63,67,12298.07142,Premium
1382,17920,41,64,11695.482610000001,Premium
656,15005,19,70,10445.39151,Premium
749,15358,29,69,10850.261550000001,Premium
924,16110,23,69,10450.78708,Premium
414,14049,64,57,11716.79764,Premium
778,15498,79,85,10770.2999,Premium
799,15570,122,57,16137.944309999999,Premium
597,14733,59,72,10627.613790000001,Premium
140,12841,35,49,11601.271260000001,Premium
193,13050,5,60,9792.58699,Premium
1358,17850,340,177,37847.29341,Premium
938,16161,22,64,10168.16358,Premium
1077,16771,19,57,10030.392100000001,Premium
46,12501,42,71,10154.78088,Premium
